tau,reference_theta,baseline_pinn_theta,adaptive_pinn_theta
0.000000000000000000e+00,4.999682179120000236e-01,3.797601461410522461e-01,4.477649331092834473e-01
3.076923076923079869e-02,3.819436674200000215e-01,3.387069106101989746e-01,3.734309673309326172e-01
6.153846153846150024e-02,3.002098199920000265e-01,3.012532889842987061e-01,3.120597600936889648e-01
9.230769230769229894e-02,2.519837462769999870e-01,2.675856053829193115e-01,2.640047073364257812e-01
1.230769230769230005e-01,2.229872195419999870e-01,2.377702891826629639e-01,2.281895577907562256e-01
1.538461538461539935e-01,2.045911110330000116e-01,2.117593884468078613e-01,2.025835812091827393e-01
1.846153846153849865e-01,1.920507415970000020e-01,1.894015967845916748e-01,1.847696304321289062e-01
2.153846153846150080e-01,1.827769090409999964e-01,1.704587340354919434e-01,1.724331080913543701e-01
2.461538461538460010e-01,1.753566424459999940e-01,1.546268165111541748e-01,1.636629402637481689e-01
2.769230769230769940e-01,1.690179269100000048e-01,1.415583193302154541e-01,1.570563018321990967e-01
3.076923076923079869e-01,1.633380043450000096e-01,1.308859586715698242e-01,1.516841948032379150e-01
3.384615384615379807e-01,1.580844533449999867e-01,1.222416535019874573e-01,1.469871103763580322e-01
3.692307692307689737e-01,1.531286093589999953e-01,1.152735725045204163e-01,1.426596939563751221e-01
4.000000000000000222e-01,1.483983951710000082e-01,1.096597984433174133e-01,1.385530531406402588e-01
4.307692307692310152e-01,1.438526216869999985e-01,1.051155105233192444e-01,1.346034109592437744e-01
4.615384615384620082e-01,1.394669855070000131e-01,1.013970449566841125e-01,1.307890713214874268e-01
4.923076923076920020e-01,1.352264388240000115e-01,9.830195456743240356e-02,1.271046698093414307e-01
5.230769230769229949e-01,1.311210309309999988e-01,9.566748887300491333e-02,1.235479414463043213e-01
5.538461538461539879e-01,1.271436410669999906e-01,9.336642175912857056e-02,1.201157867908477783e-01
5.846153846153849809e-01,1.232887416940000036e-01,9.130219370126724243e-02,1.168012917041778564e-01
6.153846153846149747e-01,1.195517231819999970e-01,8.940324932336807251e-02,1.135953366756439209e-01
6.461538461538459677e-01,1.159285243969999935e-01,8.761946111917495728e-02,1.104864180088043213e-01
6.769230769230769607e-01,1.124154299790000033e-01,8.591596037149429321e-02,1.074614822864532471e-01
7.076923076923079536e-01,1.090089584800000011e-01,8.427033573389053345e-02,1.045079529285430908e-01
7.384615384615379474e-01,1.057058000459999980e-01,8.266926556825637817e-02,1.016130745410919189e-01
7.692307692307690514e-01,1.025027811230000002e-01,8.110562711954116821e-02,9.876498579978942871e-02
8.000000000000000444e-01,9.939684393750000679e-02,7.957646995782852173e-02,9.595218300819396973e-02
8.307692307692310374e-01,9.638503405619999742e-02,7.808146625757217407e-02,9.316495060920715332e-02
8.615384615384610312e-01,9.346449238979999408e-02,7.662246376276016235e-02,9.039375185966491699e-02
8.923076923076920242e-01,9.063244965340000459e-02,7.520178705453872681e-02,8.763137459754943848e-02
9.230769230769230171e-01,8.788622220149999720e-02,7.382187992334365845e-02,8.487030863761901855e-02
9.538461538461540101e-01,8.522320864610000157e-02,7.248572260141372681e-02,8.210536837577819824e-02
9.846153846153850031e-01,8.264088693620000314e-02,7.119534164667129517e-02,7.933101058006286621e-02
1.015384615384619993e+00,8.013681171990000296e-02,6.995324045419692993e-02,7.654377818107604980e-02
1.046153846153849987e+00,7.770861189330000030e-02,6.876078993082046509e-02,7.374051213264465332e-02
1.076923076923079980e+00,7.535398828169999341e-02,6.761942058801651001e-02,7.091858983039855957e-02
1.107692307692309974e+00,7.307071142189999757e-02,6.652990728616714478e-02,6.807705760002136230e-02
1.138461538461539968e+00,7.085661942960000403e-02,6.549320369958877563e-02,6.521442532539367676e-02
1.169230769230769962e+00,6.870961594060000233e-02,6.450919061899185181e-02,6.233033537864685059e-02
1.199999999999999956e+00,6.662766811909999476e-02,6.357822567224502563e-02,5.942520499229431152e-02
