tau,reference_theta,baseline_pinn_theta,adaptive_pinn_theta
0.000000000000000000e+00,4.999682179120000236e-01,4.473991990089416504e-01,4.710070192813873291e-01
3.076923076923079869e-02,3.819436674200000215e-01,3.628304600715637207e-01,3.739214241504669189e-01
6.153846153846150024e-02,3.002098199920000265e-01,2.949048578739166260e-01,3.005102872848510742e-01
9.230769230769229894e-02,2.519837462769999870e-01,2.425612211227416992e-01,2.482473552227020264e-01
1.230769230769230005e-01,2.229872195419999870e-01,2.034526467323303223e-01,2.124839723110198975e-01
1.538461538461539935e-01,2.045911110330000116e-01,1.748389601707458496e-01,1.884199678897857666e-01
1.846153846153849865e-01,1.920507415970000020e-01,1.541306972503662109e-01,1.721123754978179932e-01
2.153846153846150080e-01,1.827769090409999964e-01,1.391665935516357422e-01,1.607479751110076904e-01
2.461538461538460010e-01,1.753566424459999940e-01,1.282825469970703125e-01,1.524870693683624268e-01
2.769230769230769940e-01,1.690179269100000048e-01,1.202615499496459961e-01,1.461810171604156494e-01
3.076923076923079869e-01,1.633380043450000096e-01,1.142384409904479980e-01,1.411246359348297119e-01
3.384615384615379807e-01,1.580844533449999867e-01,1.096072793006896973e-01,1.368834078311920166e-01
3.692307692307689737e-01,1.531286093589999953e-01,1.059435009956359863e-01,1.331855952739715576e-01
4.000000000000000222e-01,1.483983951710000082e-01,1.029505729675292969e-01,1.298588216304779053e-01
4.307692307692310152e-01,1.438526216869999985e-01,1.004198193550109863e-01,1.267893612384796143e-01
4.615384615384620082e-01,1.394669855070000131e-01,9.820300340652465820e-02,1.239007934927940369e-01
4.923076923076920020e-01,1.352264388240000115e-01,9.619510173797607422e-02,1.211388930678367615e-01
5.230769230769229949e-01,1.311210309309999988e-01,9.432035684585571289e-02,1.184635385870933533e-01
5.538461538461539879e-01,1.271436410669999906e-01,9.252381324768066406e-02,1.158431991934776306e-01
5.846153846153849809e-01,1.232887416940000036e-01,9.076476097106933594e-02,1.132529601454734802e-01
6.153846153846149747e-01,1.195517231819999970e-01,8.901298046112060547e-02,1.106721982359886169e-01
6.461538461538459677e-01,1.159285243969999935e-01,8.724516630172729492e-02,1.080840453505516052e-01
6.769230769230769607e-01,1.124154299790000033e-01,8.544403314590454102e-02,1.054755076766014099e-01
7.076923076923079536e-01,1.090089584800000011e-01,8.359599113464355469e-02,1.028360947966575623e-01
7.384615384615379474e-01,1.057058000459999980e-01,8.169096708297729492e-02,1.001587733626365662e-01
7.692307692307690514e-01,1.025027811230000002e-01,7.972216606140136719e-02,9.743913263082504272e-02
8.000000000000000444e-01,9.939684393750000679e-02,7.768422365188598633e-02,9.467437118291854858e-02
8.307692307692310374e-01,9.638503405619999742e-02,7.557421922683715820e-02,9.186502546072006226e-02
8.615384615384610312e-01,9.346449238979999408e-02,7.339143753051757812e-02,8.901246637105941772e-02
8.923076923076920242e-01,9.063244965340000459e-02,7.113564014434814453e-02,8.612003177404403687e-02
9.230769230769230171e-01,8.788622220149999720e-02,6.880903244018554688e-02,8.319195359945297241e-02
9.538461538461540101e-01,8.522320864610000157e-02,6.641387939453125000e-02,8.023311942815780640e-02
9.846153846153850031e-01,8.264088693620000314e-02,6.395399570465087891e-02,7.725014537572860718e-02
1.015384615384619993e+00,8.013681171990000296e-02,6.143403053283691406e-02,7.424827665090560913e-02
1.046153846153849987e+00,7.770861189330000030e-02,5.885827541351318359e-02,7.123448699712753296e-02
1.076923076923079980e+00,7.535398828169999341e-02,5.623257160186767578e-02,6.821491569280624390e-02
1.107692307692309974e+00,7.307071142189999757e-02,5.356216430664062500e-02,6.519558280706405640e-02
1.138461538461539968e+00,7.085661942960000403e-02,5.085289478302001953e-02,6.218251213431358337e-02
1.169230769230769962e+00,6.870961594060000233e-02,4.811042547225952148e-02,5.918171629309654236e-02
1.199999999999999956e+00,6.662766811909999476e-02,4.534059762954711914e-02,5.619820579886436462e-02
