x,y,tau,temperature,is_post_switch
0,0,0,0,0
0.0625,0,0,0.05859375,0
0.125,0,0,0.109375,0
0.1875,0,0,0.15234375,0
0.25,0,0,0.1875,0
0.3125,0,0,0.21484375,0
0.375,0,0,0.234375,0
0.4375,0,0,0.24609375,0
0.5,0,0,0.25,0
0.5625,0,0,0.24609375,0
0.625,0,0,0.234375,0
0.6875,0,0,0.21484375,0
0.75,0,0,0.1875,0
0.8125,0,0,0.15234375,0
0.875,0,0,0.109375,0
0.9375,0,0,0.05859375,0
1,0,0,0,0
0,0.0625,0,0.05859375,0
0.0625,0.0625,0,0.1171875,0
0.125,0.0625,0,0.16796875,0
0.1875,0.0625,0,0.2109375,0
0.25,0.0625,0,0.24609375,0
0.3125,0.0625,0,0.2734375,0
0.375,0.0625,0,0.29296875,0
0.4375,0.0625,0,0.3046875,0
0.5,0.0625,0,0.30859375,0
0.5625,0.0625,0,0.3046875,0
0.625,0.0625,0,0.29296875,0
0.6875,0.0625,0,0.2734375,0
0.75,0.0625,0,0.24609375,0
0.8125,0.0625,0,0.2109375,0
0.875,0.0625,0,0.16796875,0
0.9375,0.0625,0,0.1171875,0
1,0.0625,0,0.05859375,0
0,0.125,0,0.109375,0
0.0625,0.125,0,0.16796875,0
0.125,0.125,0,0.21875,0
0.1875,0.125,0,0.26171875,0
0.25,0.125,0,0.296875,0
0.3125,0.125,0,0.32421875,0
0.375,0.125,0,0.34375,0
0.4375,0.125,0,0.35546875,0
0.5,0.125,0,0.359375,0
0.5625,0.125,0,0.35546875,0
0.625,0.125,0,0.34375,0
0.6875,0.125,0,0.32421875,0
0.75,0.125,0,0.296875,0
0.8125,0.125,0,0.26171875,0
0.875,0.125,0,0.21875,0
0.9375,0.125,0,0.16796875,0
1,0.125,0,0.109375,0
0,0.1875,0,0.15234375,0
0.0625,0.1875,0,0.2109375,0
0.125,0.1875,0,0.26171875,0
0.1875,0.1875,0,0.3046875,0
0.25,0.1875,0,0.33984375,0
0.3125,0.1875,0,0.3671875,0
0.375,0.1875,0,0.38671875,0
0.4375,0.1875,0,0.3984375,0
0.5,0.1875,0,0.40234375,0
0.5625,0.1875,0,0.3984375,0
0.625,0.1875,0,0.38671875,0
0.6875,0.1875,0,0.3671875,0
0.75,0.1875,0,0.33984375,0
0.8125,0.1875,0,0.3046875,0
0.875,0.1875,0,0.26171875,0
0.9375,0.1875,0,0.2109375,0
1,0.1875,0,0.15234375,0
0,0.25,0,0.1875,0
0.0625,0.25,0,0.24609375,0
0.125,0.25,0,0.296875,0
0.1875,0.25,0,0.33984375,0
0.25,0.25,0,0.375,0
0.3125,0.25,0,0.40234375,0
0.375,0.25,0,0.421875,0
0.4375,0.25,0,0.43359375,0
0.5,0.25,0,0.4375,0
0.5625,0.25,0,0.43359375,0
0.625,0.25,0,0.421875,0
0.6875,0.25,0,0.40234375,0
0.75,0.25,0,0.375,0
0.8125,0.25,0,0.33984375,0
0.875,0.25,0,0.296875,0
0.9375,0.25,0,0.24609375,0
1,0.25,0,0.1875,0
0,0.3125,0,0.21484375,0
0.0625,0.3125,0,0.2734375,0
0.125,0.3125,0,0.32421875,0
0.1875,0.3125,0,0.3671875,0
0.25,0.3125,0,0.40234375,0
0.3125,0.3125,0,0.4296875,0
0.375,0.3125,0,0.44921875,0
0.4375,0.3125,0,0.4609375,0
0.5,0.3125,0,0.46484375,0
0.5625,0.3125,0,0.4609375,0
0.625,0.3125,0,0.44921875,0
0.6875,0.3125,0,0.4296875,0
0.75,0.3125,0,0.40234375,0
0.8125,0.3125,0,0.3671875,0
0.875,0.3125,0,0.32421875,0
0.9375,0.3125,0,0.2734375,0
1,0.3125,0,0.21484375,0
0,0.375,0,0.234375,0
0.0625,0.375,0,0.29296875,0
0.125,0.375,0,0.34375,0
0.1875,0.375,0,0.38671875,0
0.25,0.375,0,0.421875,0
0.3125,0.375,0,0.44921875,0
0.375,0.375,0,0.46875,0
0.4375,0.375,0,0.48046875,0
0.5,0.375,0,0.484375,0
0.5625,0.375,0,0.48046875,0
0.625,0.375,0,0.46875,0
0.6875,0.375,0,0.44921875,0
0.75,0.375,0,0.421875,0
0.8125,0.375,0,0.38671875,0
0.875,0.375,0,0.34375,0
0.9375,0.375,0,0.29296875,0
1,0.375,0,0.234375,0
0,0.4375,0,0.24609375,0
0.0625,0.4375,0,0.3046875,0
0.125,0.4375,0,0.35546875,0
0.1875,0.4375,0,0.3984375,0
0.25,0.4375,0,0.43359375,0
0.3125,0.4375,0,0.4609375,0
0.375,0.4375,0,0.48046875,0
0.4375,0.4375,0,0.4921875,0
0.5,0.4375,0,0.49609375,0
0.5625,0.4375,0,0.4921875,0
0.625,0.4375,0,0.48046875,0
0.6875,0.4375,0,0.4609375,0
0.75,0.4375,0,0.43359375,0
0.8125,0.4375,0,0.3984375,0
0.875,0.4375,0,0.35546875,0
0.9375,0.4375,0,0.3046875,0
1,0.4375,0,0.24609375,0
0,0.5,0,0.25,0
0.0625,0.5,0,0.30859375,0
0.125,0.5,0,0.359375,0
0.1875,0.5,0,0.40234375,0
0.25,0.5,0,0.4375,0
0.3125,0.5,0,0.46484375,0
0.375,0.5,0,0.484375,0
0.4375,0.5,0,0.49609375,0
0.5,0.5,0,0.5,0
0.5625,0.5,0,0.49609375,0
0.625,0.5,0,0.484375,0
0.6875,0.5,0,0.46484375,0
0.75,0.5,0,0.4375,0
0.8125,0.5,0,0.40234375,0
0.875,0.5,0,0.359375,0
0.9375,0.5,0,0.30859375,0
1,0.5,0,0.25,0
0,0.5625,0,0.24609375,0
0.0625,0.5625,0,0.3046875,0
0.125,0.5625,0,0.35546875,0
0.1875,0.5625,0,0.3984375,0
0.25,0.5625,0,0.43359375,0
0.3125,0.5625,0,0.4609375,0
0.375,0.5625,0,0.48046875,0
0.4375,0.5625,0,0.4921875,0
0.5,0.5625,0,0.49609375,0
0.5625,0.5625,0,0.4921875,0
0.625,0.5625,0,0.48046875,0
0.6875,0.5625,0,0.4609375,0
0.75,0.5625,0,0.43359375,0
0.8125,0.5625,0,0.3984375,0
0.875,0.5625,0,0.35546875,0
0.9375,0.5625,0,0.3046875,0
1,0.5625,0,0.24609375,0
0,0.625,0,0.234375,0
0.0625,0.625,0,0.29296875,0
0.125,0.625,0,0.34375,0
0.1875,0.625,0,0.38671875,0
0.25,0.625,0,0.421875,0
0.3125,0.625,0,0.44921875,0
0.375,0.625,0,0.46875,0
0.4375,0.625,0,0.48046875,0
0.5,0.625,0,0.484375,0
0.5625,0.625,0,0.48046875,0
0.625,0.625,0,0.46875,0
0.6875,0.625,0,0.44921875,0
0.75,0.625,0,0.421875,0
0.8125,0.625,0,0.38671875,0
0.875,0.625,0,0.34375,0
0.9375,0.625,0,0.29296875,0
1,0.625,0,0.234375,0
0,0.6875,0,0.21484375,0
0.0625,0.6875,0,0.2734375,0
0.125,0.6875,0,0.32421875,0
0.1875,0.6875,0,0.3671875,0
0.25,0.6875,0,0.40234375,0
0.3125,0.6875,0,0.4296875,0
0.375,0.6875,0,0.44921875,0
0.4375,0.6875,0,0.4609375,0
0.5,0.6875,0,0.46484375,0
0.5625,0.6875,0,0.4609375,0
0.625,0.6875,0,0.44921875,0
0.6875,0.6875,0,0.4296875,0
0.75,0.6875,0,0.40234375,0
0.8125,0.6875,0,0.3671875,0
0.875,0.6875,0,0.32421875,0
0.9375,0.6875,0,0.2734375,0
1,0.6875,0,0.21484375,0
0,0.75,0,0.1875,0
0.0625,0.75,0,0.24609375,0
0.125,0.75,0,0.296875,0
0.1875,0.75,0,0.33984375,0
0.25,0.75,0,0.375,0
0.3125,0.75,0,0.40234375,0
0.375,0.75,0,0.421875,0
0.4375,0.75,0,0.43359375,0
0.5,0.75,0,0.4375,0
0.5625,0.75,0,0.43359375,0
0.625,0.75,0,0.421875,0
0.6875,0.75,0,0.40234375,0
0.75,0.75,0,0.375,0
0.8125,0.75,0,0.33984375,0
0.875,0.75,0,0.296875,0
0.9375,0.75,0,0.24609375,0
1,0.75,0,0.1875,0
0,0.8125,0,0.15234375,0
0.0625,0.8125,0,0.2109375,0
0.125,0.8125,0,0.26171875,0
0.1875,0.8125,0,0.3046875,0
0.25,0.8125,0,0.33984375,0
0.3125,0.8125,0,0.3671875,0
0.375,0.8125,0,0.38671875,0
0.4375,0.8125,0,0.3984375,0
0.5,0.8125,0,0.40234375,0
0.5625,0.8125,0,0.3984375,0
0.625,0.8125,0,0.38671875,0
0.6875,0.8125,0,0.3671875,0
0.75,0.8125,0,0.33984375,0
0.8125,0.8125,0,0.3046875,0
0.875,0.8125,0,0.26171875,0
0.9375,0.8125,0,0.2109375,0
1,0.8125,0,0.15234375,0
0,0.875,0,0.109375,0
0.0625,0.875,0,0.16796875,0
0.125,0.875,0,0.21875,0
0.1875,0.875,0,0.26171875,0
0.25,0.875,0,0.296875,0
0.3125,0.875,0,0.32421875,0
0.375,0.875,0,0.34375,0
0.4375,0.875,0,0.35546875,0
0.5,0.875,0,0.359375,0
0.5625,0.875,0,0.35546875,0
0.625,0.875,0,0.34375,0
0.6875,0.875,0,0.32421875,0
0.75,0.875,0,0.296875,0
0.8125,0.875,0,0.26171875,0
0.875,0.875,0,0.21875,0
0.9375,0.875,0,0.16796875,0
1,0.875,0,0.109375,0
0,0.9375,0,0.05859375,0
0.0625,0.9375,0,0.1171875,0
0.125,0.9375,0,0.16796875,0
0.1875,0.9375,0,0.2109375,0
0.25,0.9375,0,0.24609375,0
0.3125,0.9375,0,0.2734375,0
0.375,0.9375,0,0.29296875,0
0.4375,0.9375,0,0.3046875,0
0.5,0.9375,0,0.30859375,0
0.5625,0.9375,0,0.3046875,0
0.625,0.9375,0,0.29296875,0
0.6875,0.9375,0,0.2734375,0
0.75,0.9375,0,0.24609375,0
0.8125,0.9375,0,0.2109375,0
0.875,0.9375,0,0.16796875,0
0.9375,0.9375,0,0.1171875,0
1,0.9375,0,0.05859375,0
0,1,0,0,0
0.0625,1,0,0.05859375,0
0.125,1,0,0.109375,0
0.1875,1,0,0.15234375,0
0.25,1,0,0.1875,0
0.3125,1,0,0.21484375,0
0.375,1,0,0.234375,0
