tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20
0,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.516024550931,0.496912530526,0.501040726934,0.500244134786,0.499968217912
0.0307692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.368249131818,0.384312518233,0.380975574583,0.381702027718,0.38194366742
0.0615384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.285103029709,0.3025102803,0.299271060165,0.299975502136,0.300209819992
0.0923076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.237246136132,0.254214502372,0.251073431507,0.25175652841,0.251983746277
0.123076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.208691915731,0.22515038222,0.222104487925,0.22276688653,0.222987219542
0.153846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.190728760475,0.20668872842,0.203735126781,0.204377454261,0.204591111033
0.184615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.178608419836,0.194084799759,0.191220694247,0.19184355877,0.192050741597
0.215384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.169741898245,0.184749333865,0.181972012686,0.182576003993,0.182776909041
0.246153846153846,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.162716601267,0.177269301465,0.174576134995,0.175161824957,0.175356642446
0.276923076923077,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.156760887522,0.170872631068,0.168261069362,0.168829012522,0.16901792691
