tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20
0,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.516024550931,0.496912530526,0.501040726934,0.500244134786,0.499968217912
0.0307692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.370712632641,0.383293655559,0.380769364423,0.38133301973,0.381517660063
0.0615384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.284906928005,0.298259825775,0.295899075254,0.296425109448,0.296597509941
0.0923076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.232102688029,0.244645976144,0.242438529497,0.242930004569,0.24309115631
0.123076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.197803930836,0.209529777295,0.207463417999,0.20792311428,0.208073917293
0.153846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.17406269785,0.18503318265,0.183096803519,0.18352724691,0.183668519173
0.184615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.156503494404,0.166778349152,0.164961844385,0.165365331487,0.165497817015
0.215384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.142701693797,0.152335394139,0.150629561406,0.151008182049,0.151132558142
0.246153846153846,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.131299622805,0.140341753756,0.138738206347,0.139093863798,0.139210747541
0.276923076923077,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.121524579592,0.130020305899,0.128511393873,0.128845822963,0.128955777059
0.307692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.112925866452,0.120916361485,0.119495100853,0.119809884251,0.119913422264
